id,email,password_hash,role,organization_id,created_at
1,katherine.davis@shipco.com,$2b$12$809ed57079136004091ca95aac778b5dde4296731e6fa5ec0ba00,logistics,16,2023-12-04 11:47:57+00
2,sarah.mitchell@logitrack.io,$2b$12$a37309fc81baa51287730d677941dd44a5b8eb104b2a03b155caa,logistics,35,2022-10-07 02:37:44+00
3,nicole.ramirez@shipco.com,$2b$12$938d132c914dcfcd29926449bd37dcb201eea320955fb50fdceda,manufacturer,14,2024-01-02 20:27:13+00
4,nicholas.hill@shipco.com,$2b$12$a9853f202eee93853375b89ddb71468e45e207170c52608314c3d,logistics,35,2025-08-05 09:39:54+00
5,mark.lewis@industryhub.co,$2b$12$f0cb682bb6b21735f55f947fc38955f08079484c10c4f3a93fd4a,manufacturer,1,2023-05-21 01:03:40+00
6,catherine.ramirez@steelworks-inc.com,$2b$12$be8f1b3be88ae0dcfab64656ae54d1b97ee275fed5e1bab7f25cf,manufacturer,14,2024-11-20 18:18:31+00
7,susan.garcia@portside-logistics.com,$2b$12$591c3c72b9b937eb48ad25736874a45e359b829611a050a28e6d6,manufacturer,23,2024-04-10 20:06:18+00
8,jennifer.campbell@assemblynow.com,$2b$12$a229581b05089642f87e5ec2baa7a411ccbbab101ddf4470e86cd,logistics,25,2022-09-11 19:46:06+00
9,stephen.jackson@protonmail.com,$2b$12$ab51174749c7320a9a2109cbfd6d6ba7cd06c5657918a40c84b78,logistics,24,2023-08-30 10:04:34+00
10,william.williams@gmail.com,$2b$12$4d115519557cfd1cebdf5fb335b1a970f5b1c3fb2fd83cb78be04,manufacturer,19,2022-09-14 21:43:15+00
11,sandra.miller@portside-logistics.com,$2b$12$543db0df61bbd3434fa5ab1f89137fee377ba4cb216bc3086e6e8,manufacturer,24,2023-05-30 08:22:06+00
12,deborah.thompson@northwind-mfg.com,$2b$12$010b26dd815d331479d58e7967ba3149292b829ab40d0b485a349,logistics,5,2023-06-25 17:01:20+00
13,jonathan.campbell@northwind-mfg.com,$2b$12$2f9a0ccba915fd23a3901155660273ae08eed1f826332876de8d1,manufacturer,25,2024-04-27 16:46:07+00
14,katherine.hall@freightbridge.io,$2b$12$d10bd2c6bc1f01e9f0db11d0752ad9114b528ed72d362b29012b0,manufacturer,21,2022-07-02 19:02:08+00
15,sandra.williams@yahoo.com,$2b$12$1f22b47141c6d683f07d32cea019f8401f6aeb6c5a76f511f77dd,manufacturer,18,2022-08-03 15:22:48+00
16,betty.torres@outlook.com,$2b$12$dbea250f091b7ba85e22ab35728ee72abfec50cbbeed742d99ef4,manufacturer,32,2025-05-23 04:27:09+00
17,samuel.robinson@fabrixmfg.com,$2b$12$1337a191f6fbc26886819c177a2a834a317642ac5a4d78d5238c4,manufacturer,16,2026-08-11 13:03:34+00
18,kimberly.mitchell@industryhub.co,$2b$12$c39c11f07b82dbe546f1f60c2a713f90c6728af8e709498d3217c,manufacturer,38,2025-06-03 21:27:37+00
19,george.anderson@fabrixmfg.com,$2b$12$821427ba8108c03bfe33180edabeccb22e7f7584a31e5cef7b7fa,logistics,6,2022-06-05 09:15:05+00
20,joseph.martinez@gmail.com,$2b$12$d1b3d500a8786f34737e3c0a8ce70967822f57429f6eed1bf3095,manufacturer,28,2022-07-26 08:58:09+00
21,stephanie.harris@industryhub.co,$2b$12$a14a9670523592e472d8c264da5d77cada71b777197534fc3784d,admin,36,2022-02-14 16:05:13+00
22,rachel.campbell@logitrack.io,$2b$12$202ff8da8b645213c24ea80b63ccddded238220bc9b6bc348e269,logistics,35,2024-04-17 23:55:40+00
23,samuel.perez@logitrack.io,$2b$12$6a988313a52530eadc1c3cd44cd77d8ad20a613b8ad8a106f9066,manufacturer,11,2025-11-19 16:05:30+00
24,james.campbell@outlook.com,$2b$12$a54c17fd666294c78576646062a24ab78303da084d951131d82d5,manufacturer,33,2023-07-19 01:14:59+00
25,nicholas.miller@protonmail.com,$2b$12$b3183c2291d89b3b96c53f7df09e9f4f22badb62b90ccb63680fe,logistics,33,2023-09-19 23:53:12+00
26,karen.white@yahoo.com,$2b$12$f97b9a2ce14f512621513cddf9e450bb227ad7a72fe806fdca295,manufacturer,34,2022-01-11 18:38:37+00
27,scott.lee@assemblynow.com,$2b$12$1458215b422a8fad9def36f7b5e1f474a431646c72b7cc413d19b,manufacturer,24,2024-08-22 09:54:55+00
28,donald.brown@northwind-mfg.com,$2b$12$358497c4e24678a6893fb619a4d3dc29cc1e58aaf299a13f6146c,logistics,6,2022-10-03 02:47:02+00
29,gary.jones@yahoo.com,$2b$12$ff361dbd49df6a87294d51eeafa40ea0d4387bef4fca4ef6aec51,logistics,9,2023-02-12 21:33:41+00
30,frank.walker@freightbridge.io,$2b$12$96656543ee862b41ba44a40d97544cbdb7aa0c47ab739348e7d30,manufacturer,34,2025-08-16 15:27:05+00
31,betty.wright@yahoo.com,$2b$12$5edf96a622806a29dfd17852e5da0815f07564e97633d006e11aa,logistics,13,2024-09-04 11:15:05+00
32,rebecca.nelson@gmail.com,$2b$12$33e696f95fa7f31e356731f27361b4e8bd1462ae9cde8fba88f2d,manufacturer,34,2025-11-12 17:14:48+00
33,jessica.thomas@northwind-mfg.com,$2b$12$09039c0d6f903eaee5d1f53202f1cb675329bdb9ebfb6fb684371,manufacturer,2,2023-12-25 22:35:53+00
34,nicole.anderson@shipco.com,$2b$12$8dc8300d082b2893aec72cda0e91b354bf2f538b8d6779abd5171,manufacturer,4,2023-12-22 07:08:13+00
35,william.williams@protonmail.com,$2b$12$9156745d5ce2a9d7fbb53f7a2a2107ce67af384d445cb0ffe5a79,manufacturer,33,2024-01-19 10:54:42+00
36,emily.nelson@assemblynow.com,$2b$12$2f1f8d7a0031e360eb234d859dab88a531cbf1287cd08709f8e89,manufacturer,9,2026-01-17 12:54:23+00
37,ashley.walker@yahoo.com,$2b$12$4b98a2010990aa404d9271db432bb729d59fda69aac1c79e3796d,manufacturer,7,2022-11-07 03:41:06+00
38,frank.ramirez@steelworks-inc.com,$2b$12$af50aa7e26a03654ea93ea8b144789cc3b14c235efe830c210f08,manufacturer,30,2022-06-27 07:17:46+00
39,gregory.adams@gmail.com,$2b$12$7f4df484d7c79ac22278a33512f3e6f5dbfa8d8cf3d30633ac1e8,manufacturer,26,2024-11-29 04:14:08+00
40,susan.thomas@northwind-mfg.com,$2b$12$b27c56df476d1ca1290e4029b2919e56da02616b46c1320ecd24c,manufacturer,29,2023-03-21 12:44:59+00
41,jason.lopez@cargolinx.com,$2b$12$2f033b2bf61e04b3867760ada2b77a650ad6b11bcde691306af4e,logistics,5,2025-10-17 18:13:23+00
42,stephen.miller@shipco.com,$2b$12$ae8e1aa928699f4ad9e94b15995f2c47e8e342187674c1eb0d922,logistics,35,2022-02-24 20:25:30+00
43,barbara.carter@protonmail.com,$2b$12$519268f5262d8dbe7a5a9f8057b9ec54645f647b22c1284ae20ca,manufacturer,27,2026-02-26 20:01:37+00
44,amy.wilson@protonmail.com,$2b$12$8efc22108ef226694aa518b444eb297137c44973cacaab497995d,manufacturer,4,2023-06-05 12:14:00+00
45,edward.smith@portside-logistics.com,$2b$12$f9fd898333120b65215adbaab2f9d14e6a59233a61a43de3f0700,manufacturer,30,2024-06-14 05:43:27+00
46,jason.hall@outlook.com,$2b$12$d1fabda64c22a25edbf25894dc2cc3228960c5ff425de2d9dbc22,admin,32,2023-05-05 22:29:17+00
47,matthew.jackson@northwind-mfg.com,$2b$12$ade230f38320750aa9fc9c81fb078488849cf0aa202bc90f3cea6,admin,35,2022-07-18 09:19:32+00
48,kenneth.brown@shipco.com,$2b$12$df3a51d19fe4028708e5fc430325c07a22da92f8592dbe27a88fb,logistics,33,2026-07-18 03:38:07+00
49,christopher.brown@freightbridge.io,$2b$12$40fe29baada852b1ce8c95cc6b7cf372d635b21d0cfbb433367e3,manufacturer,12,2022-08-10 21:19:14+00
